agence,banque,lat,long,geometry,index_right,C_DELEG,OBJECTID,LABEL,C_SECT,LABEL_AR,municipalite,circonscription,gouvernorat,CODE_GOUV,Shape__Area,Shape__Length,delegation,Nearest_Biat,Distance_Km,CONCURRENT LE PLUS PROCHE,BIAT LA PLUS PROCHE
Siège social,biat,36.79836654663086,10.17767238616943,POINT (10.17767238616943 36.79836654663086),2,1153,19,BAB EL BHAR,115351,باب البحر,Tunis,Tunis_1,Tunis,11,4.45219941127561e-05,0.0361417003325518,Bab El Bhar,Agence avenue de France,0.1,ubci (0.07Km),Siège social (0.07Km)
Centre d'affaires de tunis,biat,36.7983283996582,10.17984199523926,POINT (10.17984199523926 36.7983283996582),2,1153,19,BAB EL BHAR,115351,باب البحر,Tunis,Tunis_1,Tunis,11,4.45219941127561e-05,0.0361417003325518,Bab El Bhar,Agence du personnel,0.02,biat (0.02Km),Centre d'affaires de tunis (0.02Km)
Agence rue el Jazira 2,biat,36.7945671081543,10.1763334274292,POINT (10.1763334274292 36.7945671081543),2,1153,19,BAB EL BHAR,115351,باب البحر,Tunis,Tunis_1,Tunis,11,4.45219941127561e-05,0.0361417003325518,Bab El Bhar,Agence rue el Jazira 1,0.16,biat (0.16Km),Agence rue el Jazira 2 (0.16Km)
Agence rue el Jazira 1,biat,36.79322052001953,10.17686080932617,POINT (10.17686080932617 36.79322052001953),2,1153,19,BAB EL BHAR,115351,باب البحر,Tunis,Tunis_1,Tunis,11,4.45219941127561e-05,0.0361417003325518,Bab El Bhar,Agence rue el Jazira 2,0.16,bft (0.1Km),Agence rue el Jazira 1 (0.1Km)
Agence rue de Syrie,biat,36.80777359008789,10.18692207336426,POINT (10.18692207336426 36.80777359008789),2,1153,19,BAB EL BHAR,115351,باب البحر,Tunis,Tunis_1,Tunis,11,4.45219941127561e-05,0.0361417003325518,Bab El Bhar,Agence Lafayette PP,0.75,attijari (0.43Km),Agence rue de Syrie (0.43Km)
Agence Moncef Bey,biat,36.79023742675781,10.18502998352051,POINT (10.18502998352051 36.79023742675781),2,1153,19,BAB EL BHAR,115351,باب البحر,Tunis,Tunis_1,Tunis,11,4.45219941127561e-05,0.0361417003325518,Bab El Bhar,Agence avenue de Carthage,0.38,attijari (0.25Km),Agence Moncef Bey (0.25Km)
Agence Mohamed V,biat,36.81840515136719,10.18237781524658,POINT (10.18237781524658 36.81840515136719),2,1153,19,BAB EL BHAR,115351,باب البحر,Tunis,Tunis_1,Tunis,11,4.45219941127561e-05,0.0361417003325518,Bab El Bhar,Agence Galaxie,0.43,baraka (0.08Km),Agence Mohamed V (0.08Km)
Agence Lafayette PP,biat,36.81370162963867,10.1829662322998,POINT (10.1829662322998 36.81370162963867),2,1153,19,BAB EL BHAR,115351,باب البحر,Tunis,Tunis_1,Tunis,11,4.45219941127561e-05,0.0361417003325518,Bab El Bhar,Agence Galaxie,0.28,biat (0.0Km),Agence Galaxie (0.28Km)
Agence Lafayette PME,biat,36.81370162963867,10.1829662322998,POINT (10.1829662322998 36.81370162963867),2,1153,19,BAB EL BHAR,115351,باب البحر,Tunis,Tunis_1,Tunis,11,4.45219941127561e-05,0.0361417003325518,Bab El Bhar,Agence Galaxie,0.28,biat (0.0Km),Agence Galaxie (0.28Km)
Agence Jamel Abdennaceur,biat,36.79920959472656,10.17835807800293,POINT (10.17835807800293 36.79920959472656),2,1153,19,BAB EL BHAR,115351,باب البحر,Tunis,Tunis_1,Tunis,11,4.45219941127561e-05,0.0361417003325518,Bab El Bhar,Agence avenue de France,0.11,uib (0.06Km),Agence Jamel Abdennaceur (0.06Km)
