,Assurance Logement,possession voiture,Assurance Vie,Assurance Sante,Pondération,ID,Gouvernorat,Delegation
0,Non,Non,Oui,Non,2.12864,1,Tunis,Carthage
1,Non,Non,Non,Non,2.15883,2,Tunis,Carthage
2,Oui,"Oui, une voiture personelle",Non,Non,2.12864,3,Tunis,La  Medina
3,NSP,Non,Non,Non,2.4257,4,Tunis,La  Medina
4,Non,Non,Non,Non,2.87869,5,Tunis,Bab Bhar
5,NSP,Non,Non,Non,2.59911,6,Tunis,Bab Souika
6,Non,Non,Non,Non,2.15883,7,Tunis,El Omrane
7,Non,Non,Non,Non,2.12864,8,Tunis,El Omrane
8,Oui,Non,Non,Non,2.59911,9,Tunis,El Omrane
9,Non,Non,Non,Non,2.4257,10,Tunis,El Omrane
10,Non,Non,Non,Non,2.93786,11,Tunis,El Omrane
11,Non,Non,Non,Non,2.12864,12,Tunis,El Omrane Supérieur
12,Non,Non,Non,Non,2.4257,13,Tunis,El Omrane Supérieur
13,Non,Non,Non,Non,2.87869,14,Tunis,El Omrane Supérieur
14,NSP,Non,Non,Non,2.27412,15,Tunis,El Menzah
15,Oui,Non,Non,Non,2.27412,16,Tunis,Cité El Khadhra
16,Non,Non,Non,Non,2.32634,17,Tunis,Cité El Khadhra
17,Non,Non,Non,Non,2.12864,18,Tunis,Le Bardo
18,Non,Non,Non,Non,2.15883,19,Tunis,Le Bardo
19,Non,Non,Non,Non,2.12864,20,Tunis,Sijoumi
20,Non,Non,Non,Non,2.32634,21,Tunis,Sijoumi
21,Non,Non,Non,Non,2.93786,22,Tunis,Sijoumi
22,Non,Non,Non,Non,2.12864,23,Tunis,Sijoumi
23,NSP,Non,Non,Non,2.59911,24,Tunis,Sijoumi
24,Non,Non,Non,Non,2.4257,25,Tunis,Ezzouhour
25,Non,Non,Non,Non,2.32634,26,Tunis,Ezzouhour
26,Non,Non,Non,Non,2.4257,27,Tunis,Ezzouhour
27,Non,"Oui, une voiture personelle",Non,Non,2.87869,28,Tunis,El Hrairia
28,Non,"Oui, une voiture de fonction",Non,Non,2.4257,29,Tunis,El Hrairia
29,Non,Non,Non,Non,2.4257,30,Tunis,El Hrairia
30,Non,Non,Non,Non,2.87869,31,Tunis,El Hrairia
31,Non,Non,Non,Non,2.4257,32,Tunis,El Hrairia
32,Non,Non,Non,Oui,2.27412,33,Tunis,El Hrairia
33,Non,Non,Non,Non,2.32634,34,Tunis,El Hrairia
34,Non,"Oui, une voiture personelle",Non,Non,2.87869,35,Tunis,Sidi Hassine
35,Oui,"Oui, une voiture personelle",Non,Non,2.93786,36,Tunis,Sidi Hassine
36,Non,Non,Non,Non,2.12864,37,Tunis,Sidi Hassine
37,Non,Non,Non,Non,2.4257,38,Tunis,Sidi Hassine
38,Non,Non,Non,Non,2.87869,39,Tunis,Sidi Hassine
39,Non,Non,Non,Non,2.15883,40,Tunis,Sidi Hassine
40,Non,Non,Non,Non,2.4257,41,Tunis,Sidi Hassine
41,Non,Non,Non,Non,2.93786,42,Tunis,Sidi Hassine
42,Non,Non,Non,Non,2.87869,43,Tunis,Sidi Hassine
43,Non,Non,Non,Non,2.32634,44,Tunis,Sidi Hassine
44,Non,Non,Non,Non,2.4257,45,Tunis,Sidi Hassine
45,Non,Non,Non,Non,2.87869,46,Tunis,El Ouardia
46,Non,Non,Non,Oui,2.87869,47,Tunis,El Ouardia
47,Non,Non,Non,Non,2.4257,48,Tunis,El Ouardia
48,Non,"Oui, une voiture de fonction",Non,Non,2.12864,49,Tunis,El Kabaria
49,Non,Non,Non,Non,2.15883,50,Tunis,El Kabaria
50,NSP,Non,Non,Non,2.12864,51,Tunis,El Kabaria
51,Non,Non,Non,Non,2.27412,52,Tunis,El Kabaria
52,NSP,Non,Non,Non,2.93786,53,Tunis,Sidi El Béchir
53,Non,Non,Non,Non,2.12864,54,Tunis,Djebel Djelloud
54,Non,"Oui, une voiture de fonction",Non,Non,2.4257,55,Tunis,La Goulette
55,Non,Non,Non,Non,2.12864,56,Tunis,Le Kram
56,Non,Non,Non,Non,2.15883,57,Tunis,Le Kram
57,Non,Non,Non,Non,2.93786,58,Tunis,Le Kram
58,Non,Non,Non,Non,2.12864,59,Tunis,Le Kram
59,Non,Non,Non,Non,2.27412,60,Tunis,Le Kram
60,Non,Non,Non,Non,2.87869,61,Tunis,La Marsa
61,Non,Non,Non,Oui,2.15883,62,Tunis,La Marsa
62,Non,Non,Non,Non,2.4257,63,Tunis,La Marsa
63,Non,Non,Non,Non,2.93786,64,Tunis,La Marsa
64,Non,Non,Non,Non,2.27412,65,Tunis,La Marsa
65,Non,Non,Non,Non,2.32634,66,Tunis,Bab Bhar
66,Non,"Oui, une voiture personelle",Non,Non,2.27412,67,Tunis,El Omrane
67,Non,Non,Non,Non,2.32634,68,Tunis,Sidi Hassine
68,Non,Non,Oui,Non,2.32634,69,Tunis,El Kabaria
69,Non,"Oui, une voiture personelle",Non,Non,2.27412,70,Tunis,Le Kram
70,Non,"Oui, une voiture personelle",Non,Non,2.27412,71,Tunis,La Marsa
71,Non,"Oui, une voiture personelle",Non,Non,2.87869,72,Tunis,Sidi Hassine
72,NSP,Non,Non,Non,2.27412,73,Tunis,Sidi Hassine
73,Non,Non,Oui,Non,2.93786,74,Tunis,El Omrane Supérieur
74,NSP,"Oui, une voiture personelle",Non,Oui,2.32634,75,Tunis,El Omrane
75,NSP,Non,Non,Non,2.4257,76,Tunis,El Omrane
76,NSP,Non,Non,Non,2.32634,77,Tunis,Ettahrir
